ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_5546,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,12.50,0.00,12.50
Seq_5547,0.00,0.00,5.26,10.53,0.00,5.26,5.26,15.79,15.79,5.26,0.00,5.26,5.26,10.53,5.26,5.26,0.00,0.00,0.00,5.26
Seq_5548,0.00,0.00,0.00,7.14,0.00,0.00,0.00,14.29,7.14,0.00,0.00,7.14,21.43,0.00,7.14,0.00,7.14,28.57,0.00,0.00
Seq_5549,11.11,0.00,11.11,5.56,0.00,5.56,5.56,0.00,0.00,16.67,5.56,0.00,0.00,0.00,0.00,5.56,0.00,22.22,5.56,5.56
Seq_5550,20.00,0.00,5.00,5.00,0.00,0.00,5.00,20.00,0.00,0.00,5.00,15.00,0.00,10.00,5.00,0.00,0.00,5.00,0.00,5.00
Seq_5551,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,37.50,12.50,0.00
Seq_5552,0.00,0.00,6.67,0.00,0.00,13.33,0.00,6.67,13.33,20.00,6.67,0.00,0.00,0.00,0.00,6.67,13.33,13.33,0.00,0.00
Seq_5553,17.65,0.00,5.88,5.88,0.00,17.65,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,11.76,11.76,17.65,0.00,0.00,5.88
Seq_5554,20.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_5555,0.00,5.26,5.26,0.00,10.53,10.53,5.26,0.00,0.00,21.05,5.26,5.26,5.26,0.00,0.00,5.26,5.26,10.53,0.00,5.26
Seq_5556,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00
Seq_5557,7.14,21.43,0.00,0.00,14.29,7.14,0.00,7.14,0.00,14.29,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,7.14,7.14
Seq_5558,5.88,0.00,5.88,5.88,0.00,11.76,0.00,0.00,5.88,17.65,11.76,5.88,0.00,11.76,5.88,0.00,0.00,5.88,0.00,5.88
Seq_5559,15.38,0.00,0.00,7.69,7.69,7.69,0.00,15.38,7.69,0.00,0.00,7.69,7.69,0.00,0.00,7.69,7.69,7.69,0.00,0.00
Seq_5560,15.00,5.00,0.00,5.00,0.00,0.00,5.00,5.00,5.00,10.00,5.00,0.00,5.00,15.00,0.00,5.00,5.00,15.00,0.00,0.00
Seq_5561,5.88,5.88,0.00,0.00,5.88,11.76,5.88,11.76,0.00,5.88,0.00,17.65,0.00,0.00,0.00,11.76,0.00,5.88,5.88,5.88
Seq_5562,18.18,0.00,9.09,0.00,27.27,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,18.18,0.00,0.00,0.00
Seq_5563,23.53,0.00,0.00,5.88,0.00,5.88,0.00,5.88,0.00,5.88,5.88,11.76,5.88,0.00,5.88,0.00,0.00,23.53,0.00,0.00
Seq_5564,5.56,5.56,0.00,0.00,0.00,11.11,0.00,0.00,5.56,11.11,5.56,0.00,11.11,0.00,11.11,5.56,11.11,11.11,0.00,5.56
Seq_5565,44.44,0.00,11.11,0.00,0.00,0.00,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00
Seq_5566,8.33,0.00,0.00,0.00,8.33,8.33,0.00,0.00,16.67,0.00,8.33,8.33,0.00,8.33,8.33,8.33,0.00,16.67,0.00,0.00
Seq_5567,18.18,0.00,0.00,9.09,0.00,18.18,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,0.00,9.09,0.00,0.00
Seq_5568,25.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00
Seq_5569,10.00,0.00,10.00,10.00,0.00,10.00,0.00,0.00,10.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_5570,33.33,0.00,0.00,8.33,0.00,16.67,0.00,8.33,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00
Seq_5571,10.53,0.00,0.00,5.26,5.26,5.26,15.79,5.26,0.00,15.79,0.00,5.26,0.00,15.79,0.00,5.26,5.26,5.26,0.00,0.00
Seq_5572,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00
Seq_5573,0.00,0.00,0.00,0.00,0.00,9.09,9.09,27.27,9.09,18.18,0.00,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00
Seq_5574,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,8.33,8.33,8.33,8.33,8.33,8.33,0.00,16.67,0.00,0.00
Seq_5575,20.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,6.67,0.00,0.00,6.67,6.67,6.67,6.67,20.00,0.00,0.00,0.00
Seq_5576,5.00,0.00,0.00,10.00,0.00,20.00,5.00,5.00,0.00,10.00,5.00,5.00,10.00,0.00,0.00,0.00,10.00,10.00,5.00,0.00
Seq_5577,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,37.50,12.50,0.00,12.50,0.00,12.50
Seq_5578,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,18.18,0.00,0.00,27.27,18.18,0.00,0.00,0.00,0.00
Seq_5579,16.67,0.00,0.00,25.00,0.00,0.00,0.00,25.00,8.33,0.00,8.33,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00
Seq_5580,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,27.27,0.00,9.09,18.18,0.00,0.00,9.09,0.00,9.09,0.00,0.00,9.09
Seq_5581,11.76,5.88,5.88,29.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,11.76,5.88,5.88,0.00,0.00,5.88
Seq_5582,0.00,7.69,0.00,7.69,7.69,7.69,23.08,0.00,0.00,7.69,7.69,0.00,7.69,0.00,0.00,0.00,7.69,7.69,0.00,7.69
Seq_5583,10.00,5.00,0.00,0.00,5.00,10.00,0.00,10.00,0.00,35.00,0.00,5.00,0.00,5.00,10.00,0.00,0.00,5.00,0.00,0.00
Seq_5584,15.79,0.00,5.26,10.53,0.00,10.53,0.00,5.26,10.53,10.53,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,5.26,0.00
Seq_5585,25.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00
Seq_5586,0.00,0.00,11.76,11.76,0.00,17.65,0.00,0.00,17.65,5.88,0.00,5.88,0.00,0.00,0.00,11.76,11.76,5.88,0.00,0.00
Seq_5587,0.00,0.00,0.00,12.50,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00
Seq_5588,0.00,0.00,0.00,0.00,0.00,9.09,9.09,18.18,9.09,0.00,0.00,45.45,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00
Seq_5589,5.88,0.00,5.88,11.76,0.00,5.88,0.00,11.76,0.00,5.88,0.00,5.88,5.88,11.76,5.88,11.76,0.00,0.00,0.00,11.76
Seq_5590,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,18.18,0.00,0.00,9.09,0.00,0.00,0.00,36.36,0.00,0.00,0.00
Seq_5591,0.00,7.14,14.29,7.14,0.00,7.14,7.14,14.29,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00
Seq_5592,7.69,0.00,7.69,7.69,0.00,7.69,15.38,7.69,23.08,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,7.69
Seq_5593,0.00,0.00,0.00,6.25,6.25,12.50,0.00,6.25,12.50,12.50,6.25,6.25,6.25,6.25,0.00,0.00,0.00,0.00,6.25,12.50
Seq_5594,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,10.00,20.00,0.00,0.00,10.00,0.00,10.00
Seq_5595,16.67,0.00,0.00,33.33,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33
Seq_5596,0.00,0.00,18.75,6.25,6.25,6.25,0.00,6.25,12.50,6.25,0.00,6.25,0.00,0.00,18.75,0.00,0.00,6.25,0.00,6.25
Seq_5597,0.00,11.76,5.88,5.88,23.53,0.00,5.88,5.88,0.00,0.00,0.00,11.76,5.88,0.00,0.00,11.76,0.00,11.76,0.00,0.00
Seq_5598,5.56,5.56,5.56,16.67,0.00,5.56,0.00,0.00,5.56,22.22,0.00,5.56,0.00,11.11,0.00,5.56,0.00,11.11,0.00,0.00
Seq_5599,5.56,0.00,0.00,0.00,0.00,11.11,0.00,22.22,11.11,11.11,0.00,0.00,5.56,5.56,5.56,11.11,5.56,5.56,0.00,0.00
Seq_5600,0.00,0.00,8.33,16.67,0.00,0.00,0.00,8.33,8.33,16.67,0.00,0.00,8.33,8.33,0.00,8.33,0.00,16.67,0.00,0.00
Seq_5601,0.00,10.00,10.00,0.00,0.00,30.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00
Seq_5602,0.00,0.00,11.11,22.22,11.11,0.00,0.00,0.00,11.11,11.11,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00
Seq_5603,8.33,0.00,0.00,8.33,0.00,8.33,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,16.67,16.67,0.00,0.00
Seq_5604,0.00,0.00,8.33,8.33,8.33,8.33,0.00,16.67,0.00,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,16.67,0.00,0.00
Seq_5605,14.29,0.00,7.14,7.14,7.14,14.29,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,7.14,7.14,0.00,7.14,7.14
Seq_5606,11.11,5.56,11.11,16.67,16.67,11.11,0.00,5.56,0.00,5.56,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seq_5607,9.09,0.00,0.00,0.00,9.09,18.18,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00
Seq_5608,0.00,6.25,0.00,6.25,6.25,0.00,6.25,0.00,12.50,18.75,0.00,6.25,0.00,12.50,6.25,6.25,6.25,6.25,0.00,0.00
Seq_5609,0.00,0.00,5.88,5.88,0.00,11.76,0.00,5.88,5.88,11.76,0.00,0.00,5.88,0.00,11.76,5.88,11.76,17.65,0.00,0.00
Seq_5610,23.53,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,17.65,0.00,0.00,11.76,5.88,0.00,0.00,5.88,11.76,0.00,11.76
Seq_5611,11.11,0.00,22.22,11.11,0.00,22.22,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
Seq_5612,7.69,7.69,0.00,0.00,0.00,23.08,0.00,7.69,0.00,0.00,7.69,7.69,0.00,7.69,7.69,7.69,0.00,15.38,0.00,0.00
Seq_5613,12.50,0.00,12.50,0.00,0.00,25.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
Seq_5614,15.38,0.00,0.00,7.69,0.00,15.38,0.00,15.38,0.00,15.38,0.00,7.69,0.00,0.00,0.00,0.00,15.38,7.69,0.00,0.00
Seq_5615,20.00,0.00,0.00,0.00,20.00,10.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00
Seq_5616,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,22.22,0.00,11.11,22.22,11.11,0.00,0.00
Seq_5617,20.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,20.00,20.00,10.00,0.00,10.00,0.00,0.00
Seq_5618,25.00,12.50,6.25,0.00,0.00,12.50,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,12.50,12.50,0.00,12.50,0.00,0.00
Seq_5619,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,6.67,13.33,0.00,0.00,46.67,0.00,6.67,0.00,0.00
Seq_5620,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,8.33,0.00,8.33,8.33,0.00,25.00,8.33,0.00,16.67,0.00,8.33
Seq_5621,0.00,0.00,5.26,10.53,0.00,0.00,0.00,21.05,15.79,10.53,0.00,10.53,0.00,0.00,10.53,5.26,5.26,5.26,0.00,0.00
Seq_5622,9.09,0.00,0.00,0.00,9.09,27.27,0.00,9.09,0.00,18.18,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00
Seq_5623,16.67,0.00,8.33,16.67,8.33,0.00,8.33,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00
Seq_5624,5.88,0.00,0.00,17.65,5.88,5.88,0.00,0.00,5.88,5.88,5.88,0.00,0.00,5.88,11.76,0.00,5.88,0.00,17.65,5.88
Seq_5625,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,27.27,9.09,0.00,9.09,9.09,9.09,0.00,18.18,0.00
Seq_5626,14.29,0.00,7.14,14.29,14.29,21.43,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00
Seq_5627,11.11,0.00,0.00,0.00,0.00,0.00,11.11,11.11,11.11,22.22,5.56,0.00,5.56,5.56,0.00,5.56,5.56,5.56,0.00,0.00
Seq_5628,16.67,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,16.67,5.56,5.56,5.56,0.00,5.56,11.11,0.00,0.00
Seq_5629,0.00,0.00,0.00,37.50,0.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50
Seq_5630,25.00,0.00,0.00,16.67,8.33,0.00,0.00,8.33,8.33,8.33,0.00,0.00,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00
Seq_5631,30.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00
Seq_5632,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,20.00,0.00,13.33,6.67,6.67,6.67,13.33,13.33,0.00,0.00,6.67
Seq_5633,0.00,0.00,6.25,18.75,0.00,6.25,12.50,0.00,0.00,18.75,0.00,0.00,0.00,0.00,12.50,0.00,6.25,18.75,0.00,0.00
Seq_5634,6.67,6.67,6.67,0.00,13.33,6.67,0.00,13.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00
Seq_5635,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,16.67,0.00,33.33,8.33,0.00,16.67,0.00,8.33
Seq_5636,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,18.18,27.27,0.00,0.00,0.00,18.18,0.00
Seq_5637,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,10.00,20.00,0.00,10.00,10.00,0.00,0.00,0.00
Seq_5638,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,9.09,27.27,0.00,9.09,0.00,9.09,0.00,0.00,9.09,9.09,0.00,0.00
Seq_5639,20.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00
Seq_5640,9.09,0.00,9.09,9.09,9.09,0.00,0.00,9.09,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,9.09,0.00,9.09
Seq_5641,6.67,0.00,6.67,6.67,6.67,13.33,6.67,0.00,13.33,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,20.00,0.00,0.00
Seq_5642,0.00,0.00,30.77,7.69,0.00,0.00,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00,7.69,0.00,7.69,7.69,0.00,15.38
Seq_5643,5.26,0.00,0.00,0.00,15.79,5.26,0.00,15.79,0.00,15.79,5.26,10.53,5.26,0.00,0.00,15.79,0.00,0.00,0.00,5.26
Seq_5644,21.05,0.00,0.00,5.26,5.26,5.26,5.26,5.26,5.26,10.53,5.26,0.00,10.53,0.00,5.26,5.26,5.26,0.00,0.00,5.26
Seq_5645,9.09,0.00,9.09,0.00,0.00,9.09,0.00,9.09,0.00,18.18,0.00,18.18,0.00,9.09,9.09,0.00,0.00,9.09,0.00,0.00
Seq_5646,12.50,0.00,0.00,12.50,12.50,12.50,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00
Seq_5647,22.22,0.00,11.11,0.00,0.00,0.00,22.22,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
Seq_5648,13.33,0.00,13.33,0.00,6.67,13.33,0.00,6.67,0.00,6.67,0.00,6.67,13.33,6.67,0.00,6.67,6.67,0.00,0.00,0.00
Seq_5649,8.33,0.00,25.00,0.00,16.67,8.33,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,8.33
Seq_5650,0.00,0.00,0.00,9.09,0.00,0.00,9.09,9.09,18.18,36.36,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00
Seq_5651,15.38,0.00,7.69,0.00,0.00,7.69,0.00,7.69,0.00,7.69,7.69,0.00,0.00,7.69,15.38,23.08,0.00,0.00,0.00,0.00
Seq_5652,0.00,0.00,0.00,0.00,5.56,11.11,0.00,0.00,16.67,0.00,11.11,5.56,5.56,0.00,5.56,0.00,27.78,0.00,0.00,11.11
Seq_5653,9.09,0.00,0.00,9.09,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,9.09,18.18,0.00,0.00,0.00,9.09,0.00,9.09
Seq_5654,7.69,0.00,7.69,7.69,0.00,7.69,7.69,7.69,7.69,7.69,0.00,7.69,0.00,0.00,7.69,0.00,0.00,15.38,0.00,7.69
Seq_5655,12.50,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00
Seq_5656,0.00,15.79,5.26,5.26,0.00,5.26,0.00,0.00,10.53,5.26,0.00,15.79,5.26,5.26,5.26,10.53,5.26,0.00,0.00,5.26
Seq_5657,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00
Seq_5658,0.00,0.00,0.00,0.00,5.26,5.26,15.79,0.00,0.00,31.58,0.00,5.26,5.26,5.26,5.26,0.00,0.00,5.26,5.26,10.53
Seq_5659,0.00,0.00,0.00,33.33,16.67,8.33,0.00,8.33,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,0.00,0.00,0.00,0.00
Seq_5660,11.11,0.00,5.56,11.11,5.56,0.00,0.00,0.00,0.00,11.11,5.56,5.56,0.00,11.11,5.56,5.56,0.00,16.67,0.00,5.56
Seq_5661,27.27,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00
Seq_5662,0.00,0.00,6.25,18.75,6.25,0.00,0.00,18.75,6.25,12.50,0.00,6.25,0.00,0.00,18.75,6.25,0.00,0.00,0.00,0.00
Seq_5663,0.00,8.33,8.33,8.33,0.00,8.33,0.00,8.33,0.00,25.00,0.00,8.33,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00
Seq_5664,6.25,0.00,6.25,0.00,12.50,0.00,0.00,0.00,25.00,12.50,0.00,6.25,6.25,6.25,0.00,0.00,6.25,6.25,6.25,0.00
Seq_5665,11.76,0.00,0.00,17.65,5.88,5.88,0.00,11.76,11.76,5.88,0.00,0.00,0.00,5.88,0.00,5.88,0.00,17.65,0.00,0.00
Seq_5666,10.00,0.00,5.00,10.00,5.00,5.00,5.00,0.00,0.00,15.00,5.00,5.00,0.00,10.00,10.00,5.00,0.00,10.00,0.00,0.00
Seq_5667,5.00,10.00,15.00,0.00,5.00,5.00,5.00,0.00,10.00,5.00,0.00,5.00,10.00,0.00,5.00,5.00,0.00,15.00,0.00,0.00
Seq_5668,6.67,0.00,6.67,13.33,0.00,13.33,0.00,6.67,6.67,6.67,0.00,13.33,13.33,0.00,6.67,0.00,0.00,0.00,0.00,6.67
Seq_5669,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,10.00,0.00,0.00
Seq_5670,0.00,0.00,0.00,0.00,0.00,63.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,21.05
Seq_5671,0.00,27.27,9.09,0.00,0.00,9.09,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,9.09
Seq_5672,12.50,0.00,6.25,12.50,18.75,0.00,0.00,6.25,12.50,0.00,0.00,6.25,6.25,0.00,0.00,6.25,0.00,12.50,0.00,0.00
Seq_5673,20.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,20.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
Seq_5674,0.00,0.00,5.56,5.56,0.00,0.00,5.56,5.56,22.22,16.67,0.00,5.56,16.67,0.00,0.00,5.56,11.11,0.00,0.00,0.00
Seq_5675,45.45,0.00,0.00,18.18,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00
Seq_5676,16.67,0.00,5.56,16.67,5.56,5.56,0.00,5.56,16.67,11.11,0.00,0.00,0.00,5.56,0.00,11.11,0.00,0.00,0.00,0.00
Seq_5677,0.00,7.69,7.69,7.69,0.00,0.00,7.69,0.00,0.00,15.38,0.00,7.69,0.00,7.69,15.38,7.69,0.00,7.69,0.00,7.69
Seq_5678,0.00,0.00,11.11,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,11.11,11.11,22.22,0.00
Seq_5679,0.00,0.00,0.00,30.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,0.00,10.00
Seq_5680,9.09,0.00,18.18,0.00,0.00,9.09,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,9.09,18.18,0.00,9.09,0.00,0.00
Seq_5681,0.00,0.00,7.14,28.57,0.00,7.14,0.00,7.14,14.29,14.29,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,7.14
Seq_5682,0.00,0.00,40.00,0.00,0.00,10.00,0.00,0.00,10.00,20.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_5683,5.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00,0.00,5.00,5.00,0.00,15.00,10.00,5.00,10.00,5.00,15.00,10.00,0.00
Seq_5684,16.67,0.00,8.33,0.00,0.00,16.67,0.00,0.00,25.00,8.33,0.00,0.00,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00
Seq_5685,5.88,0.00,5.88,5.88,17.65,5.88,0.00,11.76,0.00,17.65,0.00,5.88,11.76,0.00,5.88,0.00,5.88,0.00,0.00,0.00
Seq_5686,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,16.67,0.00,16.67,0.00,16.67,0.00,8.33,0.00,16.67
Seq_5687,10.00,0.00,10.00,0.00,10.00,20.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
Seq_5688,26.32,5.26,0.00,10.53,0.00,21.05,5.26,0.00,10.53,5.26,0.00,0.00,10.53,0.00,0.00,5.26,0.00,0.00,0.00,0.00
Seq_5689,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,11.11,11.11,0.00,0.00,0.00,22.22,0.00,0.00,0.00,22.22,0.00,0.00
Seq_5690,7.69,7.69,15.38,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00,7.69,7.69,0.00,0.00,7.69,15.38,0.00,7.69,0.00
Seq_5691,6.67,0.00,6.67,6.67,6.67,20.00,13.33,0.00,0.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,13.33,0.00,0.00
Seq_5692,11.11,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,0.00,0.00,11.11,11.11,0.00
Seq_5693,15.00,0.00,5.00,5.00,0.00,15.00,0.00,0.00,10.00,5.00,0.00,5.00,0.00,25.00,0.00,0.00,0.00,10.00,0.00,5.00
Seq_5694,25.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00
Seq_5695,0.00,0.00,14.29,0.00,0.00,21.43,0.00,0.00,7.14,14.29,7.14,7.14,0.00,7.14,7.14,7.14,0.00,7.14,0.00,0.00
Seq_5696,22.22,0.00,0.00,5.56,0.00,5.56,0.00,5.56,16.67,11.11,0.00,5.56,5.56,5.56,0.00,5.56,5.56,5.56,0.00,0.00
Seq_5697,0.00,0.00,20.00,10.00,5.00,5.00,0.00,5.00,10.00,10.00,0.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,15.00
Seq_5698,7.69,0.00,0.00,7.69,0.00,7.69,7.69,7.69,7.69,7.69,0.00,0.00,7.69,0.00,15.38,0.00,7.69,7.69,0.00,7.69
Seq_5699,0.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,0.00
Seq_5700,0.00,0.00,25.00,0.00,0.00,12.50,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00
Seq_5701,16.67,0.00,11.11,5.56,0.00,5.56,0.00,11.11,11.11,11.11,0.00,11.11,0.00,0.00,5.56,0.00,0.00,11.11,0.00,0.00
Seq_5702,0.00,0.00,11.76,5.88,5.88,5.88,5.88,11.76,0.00,5.88,11.76,0.00,5.88,5.88,5.88,5.88,0.00,5.88,0.00,5.88
Seq_5703,6.67,0.00,6.67,20.00,6.67,6.67,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,6.67
Seq_5704,10.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,30.00,0.00,0.00,0.00,0.00
